Animal ID,Name_Intake,DateTime_Intake,MonthYear_Intake,Found Location,Intake Type,Intake Condition,Animal Type_Intake,Sex upon Intake,Age upon Intake,Breed_Intake,Color_Intake,Name_Outcome,DateTime_Outcome,MonthYear_Outcome,Date of Birth,Animal Type_Outcome,Sex upon Outcome,Age upon Outcome,Breed_Outcome,Color_Outcome,binary_outcome
A674745,,03/17/2014 06:30:00 PM,03/17/2014 06:30:00 PM,E Howard And Harris Ridge in Austin (TX),Wildlife,Injured,Other,Unknown,1 year,Skunk Mix,Black/White,,03/17/2014 07:19:00 PM,03/17/2014 07:19:00 PM,03/17/2013,Other,Unknown,1 year,Skunk Mix,Black/White,1.0
A797639,,06/15/2019 06:16:00 PM,06/15/2019 06:16:00 PM,3608 Verano Drive in Austin (TX),Stray,Normal,Cat,Intact Female,2 months,Domestic Shorthair,Black,,06/21/2019 03:14:00 PM,06/21/2019 03:14:00 PM,03/31/2019,Cat,Intact Female,2 months,Domestic Shorthair,Black,0.0
A694741,Cleo,01/03/2015 01:55:00 PM,01/03/2015 01:55:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,10 years,Domestic Medium Hair Mix,Black/White,Cleo,01/24/2015 01:26:00 PM,01/24/2015 01:26:00 PM,01/03/2005,Cat,Spayed Female,10 years,Domestic Medium Hair Mix,Black/White,0.0
A749932,*Harriet,05/21/2017 02:42:00 PM,05/21/2017 02:42:00 PM,1413 Webberville Rd in Austin (TX),Stray,Normal,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Brown Tabby,*Harriet,07/01/2017 04:54:00 PM,07/01/2017 04:54:00 PM,04/29/2017,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby,0.0
A755577,Peanut,08/05/2017 11:14:00 AM,08/05/2017 11:14:00 AM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,6 years,Rat Terrier Mix,Black/Gray,Peanut,08/10/2017 12:00:00 AM,08/10/2017 12:00:00 AM,08/05/2011,Dog,Neutered Male,6 years,Rat Terrier Mix,Black/Gray,0.0
A779974,,09/07/2018 03:31:00 PM,09/07/2018 03:31:00 PM,8502 Dryfield Drive in Austin (TX),Stray,Normal,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Brown Tabby,,09/12/2018 02:55:00 PM,09/12/2018 02:55:00 PM,09/07/2016,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Brown Tabby,0.0
A778198,,08/09/2018 06:16:00 PM,08/09/2018 06:16:00 PM,4504 Sojourner Street in Austin (TX),Stray,Normal,Cat,Unknown,1 year,Domestic Shorthair Mix,Black/White,,08/22/2018 02:14:00 PM,08/22/2018 02:14:00 PM,08/09/2017,Cat,Unknown,1 year,Domestic Shorthair Mix,Black/White,0.0
A775714,Tobi,07/03/2018 03:57:00 PM,07/03/2018 03:57:00 PM,13041 Jelly Palm Trail in Travis (TX),Stray,Normal,Dog,Intact Male,1 year,Yorkshire Terrier Mix,Brown/Black,Tobi,07/04/2018 12:16:00 PM,07/04/2018 12:16:00 PM,07/03/2017,Dog,Intact Male,1 year,Yorkshire Terrier Mix,Brown/Black,0.0
A685492,*Luke,08/08/2014 11:15:00 AM,08/08/2014 11:15:00 AM,3522 E Martin Luther King Jr Blvd in Austin (TX),Stray,Normal,Cat,Intact Male,2 months,Domestic Shorthair Mix,Orange Tabby,*Luke,08/17/2014 03:09:00 PM,08/17/2014 03:09:00 PM,06/05/2014,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby,0.0
A790057,,03/04/2019 10:47:00 AM,03/04/2019 10:47:00 AM,2201 Montopolis Drive in Austin (TX),Stray,Normal,Dog,Intact Male,1 month,Great Pyrenees,White,,03/04/2019 05:04:00 PM,03/04/2019 05:04:00 PM,01/20/2019,Dog,Intact Male,1 month,Great Pyrenees,White,0.0
A701907,,05/06/2015 11:05:00 AM,05/06/2015 11:05:00 AM,3308 Thompson St in Austin (TX),Stray,Normal,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Orange Tabby,,05/06/2015 01:08:00 PM,05/06/2015 01:08:00 PM,04/21/2015,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Orange Tabby,0.0
A791186,,03/22/2019 12:54:00 PM,03/22/2019 12:54:00 PM,Monarch Lane in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Chihuahua Shorthair Mix,Black,,04/16/2019 12:00:00 AM,04/16/2019 12:00:00 AM,03/22/2018,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Black,0.0
