Animal ID,Found Location,Intake Type,Intake Condition,Animal Type_Intake,Sex upon Intake,Breed_Intake,Color_Intake,Sex upon Outcome,binary_outcome,Age Outcome,Age Intake,percent,Duration of Stay (in days),monthIntake,monthOutcome
A674745,E Howard And Harris Ridge in Austin (TX),Wildlife,Injured,Other,Unknown,Skunk Mix,Black/White,Unknown,negative,365,365,2.272727272727273,0,3,3
A797639,3608 Verano Drive in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair,Black,Intact Female,positive,82,76,0.1371742112482853,6,6,6
A694741,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,Domestic Medium Hair Mix,Black/White,Spayed Female,positive,3673,3652,0.6369426751592357,21,1,1
A749932,1413 Webberville Rd in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Brown Tabby,Spayed Female,positive,63,22,0.1371742112482853,41,5,7
A755577,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,Rat Terrier Mix,Black/Gray,Neutered Male,positive,2197,2192,0.6369426751592357,5,8,8
A779974,8502 Dryfield Drive in Austin (TX),Stray,Normal,Cat,Spayed Female,Domestic Shorthair Mix,Brown Tabby,Spayed Female,positive,735,730,0.1371742112482853,5,9,9
A778198,4504 Sojourner Street in Austin (TX),Stray,Normal,Cat,Unknown,Domestic Shorthair Mix,Black/White,Unknown,positive,378,365,0.1371742112482853,13,8,8
A775714,13041 Jelly Palm Trail in Travis (TX),Stray,Normal,Dog,Intact Male,Yorkshire Terrier Mix,Brown/Black,Intact Male,positive,366,365,0.1371742112482853,1,7,7
A685492,3522 E Martin Luther King Jr Blvd in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby,Neutered Male,positive,73,64,0.1371742112482853,9,8,8
A790057,2201 Montopolis Drive in Austin (TX),Stray,Normal,Dog,Intact Male,Great Pyrenees,White,Intact Male,positive,43,43,0.1371742112482853,0,3,3
A701907,3308 Thompson St in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby,Intact Male,positive,15,15,0.1371742112482853,0,5,5
