Animal ID,Found Location,Intake Type,Intake Condition,Animal Type_Intake,Sex upon Intake,Breed_Intake,Color_Intake,Sex upon Outcome,binary_outcome,Age Outcome,Age Intake
A674745,E Howard And Harris Ridge in Austin (TX),Wildlife,Injured,Other,Unknown,Skunk Mix,Black/White,Unknown,negative,365,365
A797639,3608 Verano Drive in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair,Black,Intact Female,positive,82,76
A694741,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,Domestic Medium Hair Mix,Black/White,Spayed Female,positive,3673,3652
A749932,1413 Webberville Rd in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Brown Tabby,Spayed Female,positive,63,22
A755577,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,Rat Terrier Mix,Black/Gray,Neutered Male,positive,2197,2192
A779974,8502 Dryfield Drive in Austin (TX),Stray,Normal,Cat,Spayed Female,Domestic Shorthair Mix,Brown Tabby,Spayed Female,positive,735,730
A778198,4504 Sojourner Street in Austin (TX),Stray,Normal,Cat,Unknown,Domestic Shorthair Mix,Black/White,Unknown,positive,378,365
A775714,13041 Jelly Palm Trail in Travis (TX),Stray,Normal,Dog,Intact Male,Yorkshire Terrier Mix,Brown/Black,Intact Male,positive,366,365
A685492,3522 E Martin Luther King Jr Blvd in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby,Neutered Male,positive,73,64
A790057,2201 Montopolis Drive in Austin (TX),Stray,Normal,Dog,Intact Male,Great Pyrenees,White,Intact Male,positive,43,43
A701907,3308 Thompson St in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby,Intact Male,positive,15,15
A791186,Monarch Lane in Austin (TX),Stray,Normal,Dog,Intact Female,Chihuahua Shorthair Mix,Black,Spayed Female,positive,390,365
A716599,4700 N Capital Of Texas Hwy in Austin (TX),Stray,Normal,Cat,Unknown,Domestic Shorthair Mix,Brown Tabby/White,Unknown,positive,374,365
A804392,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,Domestic Shorthair Mix,Orange Tabby/White,Spayed Female,positive,178,153
A759053,6001 Manchaca Road in Austin (TX),Stray,Normal,Dog,Intact Female,Yorkshire Terrier Mix,White,Intact Female,positive,65,63
A688283,Austin (TX),Euthanasia Request,Sick,Other,Intact Female,Ferret,Brown,Intact Female,negative,2922,2922
A721288,Outside Jurisdiction,Owner Surrender,Normal,Dog,Spayed Female,Labrador Retriever Mix,Black/White,Spayed Female,positive,73,72
A702654,E William Cannon Dr And Ih35 in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Tortie,Spayed Female,positive,156,69
A769196,Richardson And Felix in Austin (TX),Stray,Normal,Dog,Intact Female,Staffordshire Mix,Blue/White,Spayed Female,positive,426,365
A777604,East 2Nd Street And North Pleasant Valley Road in Austin (TX),Stray,Normal,Dog,Intact Male,Great Pyrenees Mix,White,Neutered Male,positive,172,165
A710310,9418 Carson Creek Blvd in Austin (TX),Stray,Normal,Dog,Intact Female,Labrador Retriever Mix,Buff,Spayed Female,positive,222,212
