Animal ID,Name_Intake,DateTime_Intake,Found Location,Intake Type,Intake Condition,Animal Type_Intake,Sex upon Intake,Breed_Intake,Color_Intake,DateTime_Outcome,Date of Birth,Sex upon Outcome,binary_outcome,Age Outcome,Age Intake
A674745,,2014-03-17 18:30:00,E Howard And Harris Ridge in Austin (TX),Wildlife,Injured,Other,Unknown,Skunk Mix,Black/White,2014-03-17 19:19:00,2013-03-17 00:00:00,Unknown,negative,365,365
A797639,,2019-06-15 18:16:00,3608 Verano Drive in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair,Black,2019-06-21 15:14:00,2019-03-31 00:00:00,Intact Female,positive,82,76
A694741,Cleo,2015-01-03 13:55:00,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,Domestic Medium Hair Mix,Black/White,2015-01-24 13:26:00,2005-01-03 00:00:00,Spayed Female,positive,3673,3652
A749932,*Harriet,2017-05-21 14:42:00,1413 Webberville Rd in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Brown Tabby,2017-07-01 16:54:00,2017-04-29 00:00:00,Spayed Female,positive,63,22
A755577,Peanut,2017-08-05 11:14:00,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,Rat Terrier Mix,Black/Gray,2017-08-10 00:00:00,2011-08-05 00:00:00,Neutered Male,positive,2197,2192
A779974,,2018-09-07 15:31:00,8502 Dryfield Drive in Austin (TX),Stray,Normal,Cat,Spayed Female,Domestic Shorthair Mix,Brown Tabby,2018-09-12 14:55:00,2016-09-07 00:00:00,Spayed Female,positive,735,730
A778198,,2018-08-09 18:16:00,4504 Sojourner Street in Austin (TX),Stray,Normal,Cat,Unknown,Domestic Shorthair Mix,Black/White,2018-08-22 14:14:00,2017-08-09 00:00:00,Unknown,positive,378,365
A775714,Tobi,2018-07-03 15:57:00,13041 Jelly Palm Trail in Travis (TX),Stray,Normal,Dog,Intact Male,Yorkshire Terrier Mix,Brown/Black,2018-07-04 12:16:00,2017-07-03 00:00:00,Intact Male,positive,366,365
A685492,*Luke,2014-08-08 11:15:00,3522 E Martin Luther King Jr Blvd in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby,2014-08-17 15:09:00,2014-06-05 00:00:00,Neutered Male,positive,73,64
A790057,,2019-03-04 10:47:00,2201 Montopolis Drive in Austin (TX),Stray,Normal,Dog,Intact Male,Great Pyrenees,White,2019-03-04 17:04:00,2019-01-20 00:00:00,Intact Male,positive,43,43
A701907,,2015-05-06 11:05:00,3308 Thompson St in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby,2015-05-06 13:08:00,2015-04-21 00:00:00,Intact Male,positive,15,15
A791186,,2019-03-22 12:54:00,Monarch Lane in Austin (TX),Stray,Normal,Dog,Intact Female,Chihuahua Shorthair Mix,Black,2019-04-16 00:00:00,2018-03-22 00:00:00,Spayed Female,positive,390,365
A716599,,2015-11-21 15:48:00,4700 N Capital Of Texas Hwy in Austin (TX),Stray,Normal,Cat,Unknown,Domestic Shorthair Mix,Brown Tabby/White,2015-11-30 19:45:00,2014-11-21 00:00:00,Unknown,positive,374,365
A804392,*Rose,2019-09-14 11:13:00,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,Domestic Shorthair Mix,Orange Tabby/White,2019-10-09 11:32:00,2019-04-14 00:00:00,Spayed Female,positive,178,153
A759053,Thelma,2017-09-26 11:23:00,6001 Manchaca Road in Austin (TX),Stray,Normal,Dog,Intact Female,Yorkshire Terrier Mix,White,2017-09-28 16:54:00,2017-07-25 00:00:00,Intact Female,positive,65,63
A688283,Metta,2014-09-17 13:17:00,Austin (TX),Euthanasia Request,Sick,Other,Intact Female,Ferret,Brown,2014-09-17 17:59:00,2006-09-17 00:00:00,Intact Female,negative,2922,2922
A721288,Fancy,2016-03-06 14:59:00,Outside Jurisdiction,Owner Surrender,Normal,Dog,Spayed Female,Labrador Retriever Mix,Black/White,2016-03-07 17:44:00,2015-12-25 00:00:00,Spayed Female,positive,73,72
A702654,*Amber,2015-05-16 15:32:00,E William Cannon Dr And Ih35 in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Tortie,2015-08-11 00:00:00,2015-03-08 00:00:00,Spayed Female,positive,156,69
A769196,Fiona,2018-04-01 11:28:00,Richardson And Felix in Austin (TX),Stray,Normal,Dog,Intact Female,Staffordshire Mix,Blue/White,2018-06-01 14:40:00,2017-04-01 00:00:00,Spayed Female,positive,426,365
A777604,Billy,2018-07-31 12:10:00,East 2Nd Street And North Pleasant Valley Road in Austin (TX),Stray,Normal,Dog,Intact Male,Great Pyrenees Mix,White,2018-08-07 15:59:00,2018-02-16 00:00:00,Neutered Male,positive,172,165
A710310,*Mindy,2015-08-21 12:02:00,9418 Carson Creek Blvd in Austin (TX),Stray,Normal,Dog,Intact Female,Labrador Retriever Mix,Buff,2015-08-31 11:56:00,2015-01-21 00:00:00,Spayed Female,positive,222,212
A678749,,2014-05-12 14:48:00,2100 South Congress in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Black,2014-05-12 18:40:00,2014-04-20 00:00:00,Intact Female,positive,22,22
A744691,Halo,2017-06-12 12:04:00,4807 Munson St in Austin (TX),Owner Surrender,Normal,Dog,Intact Female,German Shepherd Mix,Brown/Black,2017-08-18 17:00:00,2016-03-06 00:00:00,Spayed Female,positive,530,463
A661807,,2013-10-29 18:37:00,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,Australian Cattle Dog Mix,White/Black,2013-11-03 18:51:00,2013-08-24 00:00:00,Spayed Female,positive,71,66
A803027,*Beatrice,2019-08-26 13:12:00,615 West Elray in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Brown Tabby/White,2019-11-04 13:33:00,2019-08-04 00:00:00,Spayed Female,positive,92,22
A753515,,2017-07-07 15:45:00,10225 Research in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Longhair Mix,Brown Tabby/White,2017-07-11 18:04:00,2017-05-16 00:00:00,Spayed Female,positive,56,52
A678661,,2014-05-11 14:00:00,7201 Levander Loop in Austin (TX),Stray,Nursing,Cat,Intact Female,Domestic Shorthair Mix,Blue,2014-05-11 15:01:00,2014-04-26 00:00:00,Intact Female,positive,15,15
A804855,*Puffkin,2019-09-19 15:54:00,18200 Park Drive in Jonestown (TX),Stray,Normal,Cat,Intact Female,Domestic Longhair,Brown Tabby,2019-11-22 13:08:00,2019-08-29 00:00:00,Spayed Female,positive,85,21
A750295,,2017-05-25 12:51:00,1705 Frontier Valley Dr in Austin (TX),Stray,Normal,Dog,Spayed Female,Labrador Retriever Mix,Black,2017-05-25 15:46:00,2013-05-25 00:00:00,Spayed Female,positive,1461,1461
